mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
الرياض,حي بنبان,شمال,سكني,20.0,405,778,315090
الرياض,حي الملقا,شمال,سكني,20.0,1575,3500,5512500
الرياض,حي الملقا,شرق,سكني,60.0,2002,4000,8008000
الرياض,حي حطين,غرب,سكني,20.0,875,4100,3587500
الرياض,حي النفل,شمال,سكني أو تجاري,36.0,1500,4500,6750000
الرياض,حي المعيزلة,شرق,سكني,12.0,351,1650,579150
الرياض,حي النرجس,غرب,سكني,20.0,1500,3400,5100000
الرياض,حي الشهداء,شمال شرقي,تجاري,36.0,900,4500,4050000
الخبر,حي العقيق,جنوب,تجاري,100.0,625,4160,2600000
الرياض,حي الملقا,شمال غربي,سكني,25.0,2050,4100,8405000
الرياض,حي الملقا,غرب,سكني,25.0,2487,4000,9948000
الرياض,حي ظهرة البديعة,جنوب,سكني,12.0,312,1300,405600
الرياض,حي الربيع,شمال شرقي,سكني,20.0,1140,3700,4218000
الرياض,حي الفلاح,جنوب,سكني,15.0,560,3200,1792000
الرياض,حي المهدية,شمال غربي,سكني أو تجاري,20.0,900,1000,900000
الرياض,حي السفارات,3 شوارع,سكني,20.0,5100,4800,24480000
الرياض,حي عرقة,شمال,سكني,15.0,2300,3700,8510000
الخبر,حي الرجاء,شرق,سكني,20.0,600,850,510000
الرياض,حي الواحة,شمال,سكني,15.0,864,3800,3283200
الرياض,حي النفل,جنوب شرقي,سكني,12.0,720,3200,2304000
الدمام,حي السيف,شرق,سكني,20.0,875,1350,1181250
الرياض,حي المصيف,شرق,سكني,15.0,780,2400,1872000
الخبر,حي البستان,شمال,تجاري,25.0,1980,4150,8217000
الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4300,9030000
الرياض,حي الورود,جنوب,سكني,12.0,475,2950,1401250
الرياض,حي الملقا,شمال غربي,تجاري,60.0,5000,4500,22500000
الطائف,حي الوكف,شمال شرقي,سكني,15.0,365,1506,549690
الرياض,حي الملقا,شمال غربي,سكني,20.0,900,3800,3420000
الرياض,حي النرجس,شمال,تجاري,80.0,900,7300,6570000
مكة المكرمة,حي الراشدية,جنوب غربي,سكني,20.0,10000,700,7000000
الرياض,حي النرجس,جنوب,سكني,15.0,540,2600,1404000
الرياض,حي الصحافة,شمال شرقي,سكني,15.0,806,3200,2579200
الرياض,حي اليرموك,شرق,تجاري,30.0,900,2650,2385000
الرياض,حي النرجس,شمال,سكني,15.0,2175,3000,6525000
الرياض,حي الملقا,جنوب,سكني,16.0,540,3600,1944000
الرياض,حي الملقا,جنوب,سكني,15.0,540,3500,1890000
بريدة,حي الريان,غرب,سكني أو تجاري,30.0,1175,834,979950
الرياض,حي الرحمانية,جنوب غربي,سكني,10.0,1650,4000,6600000
الرياض,حي النرجس,جنوب شرقي,تجاري,30.0,900,3000,2700000
الرياض,حي حطين,3 شوارع,تجاري,100.0,13025,7500,97687500
جدة,حي الشراع,شمال,سكني,16.0,400,2000,800000
المدينة المنورة,حي السكب,4 شوارع,تجاري,100.0,790000,200,158000000
الرياض,حي النرجس,جنوب غربي,سكني أو تجاري,20.0,562,2800,1573600
الرياض,حي الرحمانية,شرق,سكني,15.0,550,3100,1705000
الزلفي,حي حطين,غرب,سكني,30.0,675,192,129600
عنيزة,حي الحزم,غرب,تجاري,60.0,24784,23,570032
الرياض,حي حطين,جنوب غربي,سكني,15.0,902,5000,4510000
الرياض,حي اليرموك,شرق,تجاري,30.0,900,2300,2070000
سكاكا,حي مخطط كريم الدرزي,شمال,سكني,20.0,600,250,150000
مكة المكرمة,حي الملك فهد,غرب,تجاري,50.0,864,925,799200
الخبر,حي الحمرا,شمال,سكني,16.0,600,1700,1020000
بيش,حي بيش,شمال,سكني أو تجاري,20.0,49549,220,10900780
الرياض,حي بنبان,جنوب,سكني,15.0,750,700,525000
ابها,حي القريقر,شرق,سكني,15.0,600,916,549600
الرس,حي الحزم,شمال,سكني,15.0,547,548,299756
الدرعية,حي الدرعية الجديدة,شمال غربي,سكني أو تجاري,20.0,11716,257,3011012
المدينة المنورة,حي الدفاع,جنوب,سكني,20.0,1312,1000,1312000
الزلفي,حي النهضة,3 شوارع,سكني,20.0,625,144,90000
بريدة,حي الورش الجنوبية,شمال,تجاري,20.0,750,333,249750
الرياض,حي طويق,شمال غربي,سكني,15.0,375,1500,562500
الرياض,حي الروابي,شرق,سكني,15.0,471,2600,1224600
الرياض,حي النظيم,شرق,تجاري,40.0,764,1400,1069600
جدة,حي الزمرد,غرب,سكني,16.0,625,432,270000
الخبر,حي البحر,شمال غربي,سكني,25.0,1409,1550,2183950
الدمام,حي احد,شمال,تجاري,40.0,900,4000,3600000
الرياض,حي المروج,غرب,سكني,20.0,510,3000,1530000
الرياض,حي المهدية,جنوب,سكني أو تجاري,25.0,465,2000,930000
الرياض,حي قرطبة,جنوب,تجاري,80.0,2003,4100,8212300
الرياض,حي المهدية,شمال,سكني,15.0,442,1810,800020
الهفوف,حي العزيزية,شمال شرقي,سكني,15.0,800,875,700000
الرياض,حي العقيق,غرب,تجاري,30.0,900,4444,3999600
الخبر,حي الكوثر,غرب,سكني أو تجاري,30.0,864,868,749952
الرياض,حي الحمراء,شمال,سكني,25.0,1128,3450,3891600
الرياض,حي الروضة,جنوب,سكني,10.0,412,2400,988800
الرياض,حي العقيق,جنوب,سكني أو تجاري,30.0,1000,3400,3400000
الرياض,حي النفل,جنوب شرقي,تجاري,36.0,2444,2350,5743400
الرياض,حي القدس,غرب,تجاري,36.0,969,3500,3391500
الخبر,حي التحلية,شمال غربي,سكني,20.0,586,1450,849700
الرياض,حي النخيل,غرب,سكني,12.0,552,4500,2484000
الرياض,حي الرمال,جنوب,سكني,15.0,690,1750,1207500
الرياض,حي النرجس,شرق,سكني,15.0,450,3100,1395000
جدة,حي الزمرد,شمال,سكني أو تجاري,20.0,900,1000,900000
الدرعية,حي الدرعية الجديدة,غرب,سكني,22.0,702,1300,912600
الرياض,حي النهضة,شمال غربي,سكني,16.0,600,2500,1500000
الرياض,حي القادسية,جنوب شرقي,سكني,20.0,665,2200,1463000
الرياض,حي العليا,شمال,سكني,10.0,420,3100,1302000
الرياض,حي ظهرة لبن,جنوب,سكني,20.0,400,1875,750000
الرياض,حي غرناطة,شمال,تجاري,30.0,1050,2800,2940000
الرياض,حي الخزامى,جنوب,سكني أو تجاري,30.0,1620,3700,5994000
الرياض,حي اليرموك,شرق,سكني,15.0,638,2500,1595000
الرياض,حي المروج,شمال,سكني أو تجاري,30.0,575,4700,2702500
الخبر,حي الامواج,شرق,سكني,30.0,2025,642,1300050
الرياض,حي الملقا,شمال,سكني,15.0,446,4100,1828600
الرياض,حي القيروان,شمال شرقي,سكني,20.0,1050,3500,3675000
الرياض,حي الملقا,غرب,سكني,18.0,420,4000,1680000
الرياض,حي الياسمين,غرب,سكني,15.0,350,3200,1120000
الرياض,حي النرجس,4 شوارع,تجاري,30.0,4500,3500,15750000
الرياض,حي النرجس,3 شوارع,تجاري,60.0,4837,4300,20799100
الرياض,حي ظهرة البديعة,جنوب شرقي,سكني,12.0,600,1350,810000
الرياض,حي بنبان,4 شوارع,سكني أو تجاري,80.0,1500012,175,262502100
الرياض,حي بدر,جنوب,سكني,30.0,882,1000,882000
الرياض,حي الياسمين,شمال,سكني,15.0,1500,3350,5025000
الرياض,حي حطين,شمال شرقي,سكني,20.0,1200,3700,4440000
الرياض,حي المهدية,غرب,سكني,15.0,450,1555,699750
الرياض,حي ضاحية نمار,جنوب,سكني,20.0,2000,105,210000
الرياض,حي المونسية,شرق,سكني,20.0,750,2550,1912500
الخبر,حي العقيق,شرق,سكني,20.0,744,510,379440
الخبر,حي الكوثر,جنوب,سكني أو تجاري,20.0,437,869,379753
الخبر,حي الرجاء,شرق,سكني,15.0,726,923,670098
جدة,حي الياقوت,جنوب شرقي,سكني,5.0,645,2170,1399650
بريدة,حي الرحاب,جنوب,سكني,20.0,1000,290,290000
الرياض,حي المهدية,غرب,سكني,15.0,418,1435,599830
الرياض,حي الملقا,شمال,سكني,18.0,446,4000,1784000
الخبر,حي العقيق,شرق,سكني,16.0,715,909,649935
الرياض,حي اليرموك,شمال غربي,سكني,15.0,687,2600,1786200
الرياض,حي الياسمين,جنوب غربي,سكني,15.0,1380,3500,4830000
الرياض,حي حطين,غرب,سكني,25.0,1320,4500,5940000
الرياض,حي القادسية,شرق,سكني,20.0,560,2400,1344000
الرياض,حي النرجس,شمال غربي,سكني,18.0,494,3450,1704300
الرياض,حي حطين,3 شوارع,سكني,60.0,3185,3700,11784500
الرياض,حي الملقا,شرق,سكني,15.0,525,4500,2362500
الرياض,حي النخيل,3 شوارع,سكني,20.0,1614,4000,6456000
الرياض,حي الورود,غرب,سكني,20.0,910,2900,2639000
الرياض,حي الملقا,شمال غربي,سكني,18.0,744,4200,3124800
الرس,حي الروضة,3 شوارع,سكني أو تجاري,30.0,431,754,324974
الرياض,حي الملقا,3 شوارع,سكني,18.0,5376,4500,24192000
الخبر,حي الصواري,جنوب,سكني,15.0,556,1200,667200
الرياض,حي المصيف,شرق,سكني,12.0,780,2400,1872000
بريدة,حي الرحاب,شرق,سكني,15.0,1018,492,500856
الرياض,حي ظهرة لبن,غرب,سكني,15.0,450,1711,769950
الخبر,حي الصواري,غرب,سكني,30.0,500,1100,550000
الخبر,حي اللؤلؤ,جنوب,سكني,20.0,600,933,559800
الخبر,حي التحلية,غرب,سكني,20.0,546,1150,627900
الرياض,حي عرقة,3 شوارع,سكني أو تجاري,40.0,5200,3000,15600000
الرياض,حي المصيف,غرب,سكني,36.0,1690,3200,5408000
الدرعية,حي الدرعية الجديدة,4 شوارع,سكني,20.0,10500,1500,15750000
الهفوف,حي النايفية,3 شوارع,سكني أو تجاري,40.0,516,850,438600
بيش,حي بيش,شرق,سكني أو تجاري,25.0,157000,100,15700000
الرياض,حي العقيق,شرق,سكني,15.0,450,3100,1395000
الرياض,حي العقيق,3 شوارع,سكني,20.0,9000,3600,32400000
الرياض,حي الفلاح,شمال,سكني أو تجاري,20.0,1200,3500,4200000
الرياض,حي عرقة,جنوب,سكني,15.0,441,2350,1036350
الخبر,حي الصواري,شمال غربي,سكني,15.0,600,1000,600000
الخبر,حي التحلية,شرق,سكني,20.0,5000,1200,6000000
الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,36.0,2522,4000,10088000
الرياض,حي الملك فيصل,جنوب غربي,تجاري,30.0,1050,2600,2730000
الرياض,حي الغدير,غرب,سكني,20.0,375,4500,1687500
الهفوف,حي جنوب الهفوف,جنوب,سكني,15.0,875,571,499625
الرياض,حي المعيزلة,شمال,سكني,18.0,512,1850,947200
جدة,حي الحمدانية,شرق,سكني أو تجاري,50.0,1000,3500,3500000
الرياض,حي العريجاء,جنوب شرقي,تجاري,40.0,1112,1258,1398896
الخبر,حي الشراع,3 شوارع,تجاري,60.0,1700,2941,4999700
الخبر,حي الحمرا,شمال غربي,سكني,20.0,665,1600,1064000
الرياض,حي السلي,4 شوارع,تجاري,100.0,262953,450,118328850
الرياض,حي قرطبة,شمال,سكني,15.0,435,2800,1218000
الرياض,حي النرجس,جنوب شرقي,تجاري,36.0,800,3800,3040000
جدة,حي الرياض,شرق,سكني أو تجاري,25.0,925,270,249750
الرياض,حي الروابي,شمال غربي,سكني أو تجاري,30.0,900,3200,2880000
الرياض,حي عرقة,شمال,سكني,15.0,1050,3200,3360000
الرياض,حي الصحافة,شرق,تجاري,25.0,800,10000,8000000
الرياض,حي الحمراء,جنوب,سكني,20.0,1125,3050,3431250
الرياض,حي ظهرة لبن,شمال غربي,سكني أو تجاري,20.0,900,1800,1620000
الرياض,حي الروابي,3 شوارع,سكني,12.0,425,2600,1105000
الرياض,حي عرقة,شمال شرقي,سكني,16.0,1320,2500,3300000
الرياض,حي ظهرة نمار,شمال,سكني,5.0,450,1881,846450
الرياض,حي المروج,3 شوارع,سكني,20.0,1625,3150,5118750
الرياض,حي القيروان,غرب,سكني أو تجاري,20.0,375,1650,618750
الرياض,حي اليرموك,غرب,سكني,15.0,1250,2550,3187500
الرياض,حي العليا,جنوب شرقي,سكني,15.0,600,3250,1950000
الرياض,حي الشرق,غرب,سكني,20.0,600,1800,1080000
الرياض,حي حطين,3 شوارع,سكني,20.0,6250,4300,26875000
الرياض,حي بنبان,شمال,سكني,15.0,375,675,253125
الرياض,حي عرقة,شمال شرقي,سكني,25.0,500,2850,1425000
الخبر,حي الامواج,غرب,سكني,20.0,600,1000,600000
الرياض,حي الهدا,شرق,سكني,25.0,1125,3300,3712500
الرياض,حي بنبان,جنوب,سكني أو تجاري,30.0,840,654,549360
الرياض,حي الملقا,جنوب,سكني,20.0,1260,4500,5670000
الخبر,حي العقيق,جنوب,سكني,30.0,1200,750,900000
الرياض,حي قرطبة,4 شوارع,سكني أو تجاري,80.0,5280,3200,16896000
الرياض,حي النهضة,3 شوارع,سكني,20.0,1800,2222,3999600
الرياض,حي الروضة,جنوب غربي,سكني أو تجاري,30.0,1906,3675,7004550
الرياض,حي السعادة,غرب,سكني,25.0,324,1650,534600
الدرعية,حي الخالدية,جنوب,سكني,20.0,660,3200,2112000
الرياض,حي الخزامى,4 شوارع,سكني أو تجاري,20.0,7000,3300,23100000
بريدة,حي الورش الجنوبية,جنوب,سكني أو تجاري,40.0,875,345,301875
الرياض,حي الياسمين,غرب,سكني,15.0,350,3300,1155000
الخبر,حي الامواج,شمال,سكني,16.0,750,1050,787500
الرياض,حي النفل,شمال,سكني,15.0,360,3200,1152000
الرياض,حي النرجس,جنوب,سكني,20.0,870,2950,2566500
الرياض,حي الملقا,جنوب,سكني,20.0,900,3700,3330000
الخبر,حي اللؤلؤ,غرب,سكني,20.0,520,865,449800
جدة,حي الزمرد,جنوب شرقي,سكني أو تجاري,35.0,877,957,839289
الرياض,حي النرجس,شمال,سكني,20.0,630,2900,1827000
الرياض,حي الملقا,جنوب,سكني,30.0,950,4300,4085000
الرياض,حي الملقا,شرق,سكني,25.0,850,4200,3570000
الرياض,حي الملقا,غرب,سكني,20.0,900,4000,3600000
الرياض,حي عكاظ,غرب,سكني أو تجاري,30.0,888,1050,932400
الرياض,حي الياسمين,3 شوارع,سكني,15.0,1100,3300,3630000
المدينة المنورة,حي الغابة,غرب,سكني أو تجاري,20.0,3000,583,1749000
ثادق,حي الجنادرية,3 شوارع,سكني,15.0,915,327,299205
